"","order_id","cust_id","prod_id","order_quantity","order_date","order_value","order_price"
"60","o472","cust096","prod07",7,2022-11-09,65.156,9.308
"61","o486","cust024","prod12",10,2022-09-22,307.9,30.79
"62","o134","cust069","prod01",5,2023-09-29,243,48.6
"63","o166","cust098","prod07",1,2023-10-11,9.308,9.308
"64","o185","cust088","prod07",7,2024-01-15,65.156,9.308
"65","o325","cust062","prod07",7,2023-08-12,65.156,9.308
"66","o168","cust098","prod12",10,2023-03-21,307.9,30.79
"67","o308","cust098","prod02",6,2023-04-14,410.7,68.45
"68","o495","cust089","prod02",7,2022-03-14,479.15,68.45
"69","o334","cust063","prod07",2,2023-07-07,18.616,9.308
"70","o387","cust022","prod07",4,2023-08-24,37.232,9.308
"71","o040","cust061","prod12",4,2023-09-17,123.16,30.79
"72","o253","cust094","prod05",5,2023-03-09,260.3,52.06
"73","o105","cust041","prod07",8,2023-02-01,74.464,9.308
"74","o340","cust005","prod02",6,2022-01-01,410.7,68.45
"75","o410","cust054","prod07",3,2023-09-29,27.924,9.308
"76","o291","cust024","prod12",2,2022-06-18,61.58,30.79
"77","o228","cust026","prod18",2,2023-07-19,183.92,91.96
"78","o174","cust054","prod02",10,2022-11-21,684.5,68.45
"79","o092","cust055","prod02",2,2022-02-06,136.9,68.45
"80","o142","cust058","prod18",5,2023-11-04,459.8,91.96
"81","o413","cust026","prod07",2,2023-01-08,18.616,9.308
"82","o065","cust020","prod14",5,2022-09-22,16.35,3.27
"83","o182","cust090","prod02",2,2023-11-16,136.9,68.45
"84","o383","cust038","prod02",7,2023-04-14,479.15,68.45
"85","o058","cust090","prod02",3,2022-02-18,205.35,68.45
"86","o378","cust095","prod14",10,2024-02-20,32.7,3.27
"87","o026","cust100","prod04",5,2022-11-21,142.8,28.56
"88","o481","cust044","prod02",5,2024-01-27,342.25,68.45
"89","o231","cust087","prod18",10,2022-02-18,919.6,91.96
"90","o468","cust001","prod02",7,2023-01-20,479.15,68.45
"91","o267","cust005","prod07",2,2023-10-23,18.616,9.308
"92","o222","cust090","prod13",3,2023-06-01,25.695,8.565
"93","o071","cust020","prod04",8,2022-01-25,228.48,28.56
"94","o476","cust070","prod02",4,2022-07-12,273.8,68.45
"95","o196","cust094","prod04",8,2023-11-28,228.48,28.56
"96","o374","cust057","prod18",4,2022-03-14,367.84,91.96
"97","o095","cust087","prod11",7,2023-03-21,136.374,19.482
"98","o018","cust051","prod09",2,2023-07-19,125.38,62.69
"99","o210","cust001","prod02",4,2022-11-09,273.8,68.45
"100","o353","cust036","prod02",7,2023-05-08,479.15,68.45
"101","o272","cust069","prod02",4,2023-04-14,273.8,68.45
"102","o039","cust041","prod13",10,2022-11-21,85.65,8.565
"103","o222","cust090","prod18",10,2023-06-01,919.6,91.96
"104","o359","cust093","prod18",5,2024-02-20,459.8,91.96
"105","o054","cust029","prod10",10,2023-02-25,133.3,13.33
"106","o044","cust098","prod06",6,2023-12-22,554.64,92.44
"107","o473","cust005","prod13",7,2023-03-21,59.955,8.565
"108","o350","cust065","prod02",3,2023-09-17,205.35,68.45
"109","o012","cust042","prod15",3,2023-05-08,68.52,22.84
"110","o301","cust096","prod18",5,2022-01-01,459.8,91.96
"111","o367","cust017","prod02",8,2022-05-13,547.6,68.45
"112","o238","cust065","prod04",7,2022-03-26,199.92,28.56
"113","o078","cust015","prod18",7,2022-07-24,643.72,91.96
"114","o215","cust056","prod02",9,2023-05-08,616.05,68.45
"115","o455","cust081","prod13",6,2024-02-08,51.39,8.565
"116","o326","cust094","prod02",8,2022-12-03,547.6,68.45
"117","o500","cust025","prod02",8,2022-01-25,547.6,68.45
"118","o061","cust092","prod13",1,2023-03-09,8.565,8.565
"119","o045","cust067","prod04",4,2022-08-29,114.24,28.56
"120","o137","cust009","prod13",5,2023-08-12,42.825,8.565
"121","o068","cust010","prod02",8,2022-01-01,547.6,68.45
"122","o213","cust051","prod08",7,2023-02-01,209.09,29.87
"123","o378","cust095","prod02",1,2024-02-20,68.45,68.45
"124","o051","cust053","prod10",9,2023-04-02,119.97,13.33
"125","o133","cust048","prod08",10,2022-06-18,298.7,29.87
"126","o259","cust073","prod03",10,2022-07-24,991.8,99.18
"127","o256","cust096","prod03",7,2023-07-07,694.26,99.18
"128","o246","cust032","prod08",6,2022-06-30,179.22,29.87
"129","o483","cust028","prod13",5,2023-03-21,42.825,8.565
"130","o407","cust080","prod08",6,2023-08-24,179.22,29.87
"131","o300","cust022","prod20",4,2022-06-06,143.32,35.83
"132","o292","cust038","prod20",6,2022-11-21,214.98,35.83
"133","o328","cust055","prod19",2,2022-06-06,2.292,1.146
"134","o377","cust027","prod13",6,2024-02-20,51.39,8.565
"135","o127","cust020","prod19",10,2022-06-18,11.46,1.146
"136","o496","cust034","prod03",2,2022-08-29,198.36,99.18
"137","o106","cust058","prod20",10,2023-06-25,358.3,35.83
"138","o010","cust019","prod15",4,2022-08-05,91.36,22.84
"139","o457","cust067","prod04",10,2022-02-18,285.6,28.56
"140","o308","cust098","prod03",9,2023-04-14,892.62,99.18
"141","o432","cust079","prod05",9,2023-03-21,468.54,52.06
"142","o336","cust046","prod08",3,2023-11-16,89.61,29.87
"143","o226","cust075","prod08",6,2024-01-27,179.22,29.87
"144","o118","cust088","prod08",3,2023-03-21,89.61,29.87
"145","o078","cust015","prod13",3,2022-07-24,25.695,8.565
"146","o066","cust029","prod03",3,2024-01-27,297.54,99.18
"147","o403","cust020","prod03",2,2023-02-13,198.36,99.18
"148","o100","cust019","prod05",2,2022-10-28,104.12,52.06
"149","o068","cust010","prod14",4,2022-01-01,13.08,3.27
"150","o361","cust069","prod08",10,2023-09-05,298.7,29.87
"151","o328","cust055","prod10",2,2022-06-06,26.66,13.33
"152","o347","cust040","prod03",1,2022-11-09,99.18,99.18
"153","o158","cust039","prod14",3,2023-04-02,9.81,3.27
"154","o051","cust053","prod10",9,2023-04-02,119.97,13.33
"155","o060","cust074","prod03",3,2023-01-20,297.54,99.18
"156","o114","cust048","prod08",8,2023-05-20,238.96,29.87
"157","o456","cust036","prod15",5,2023-08-24,114.2,22.84
"158","o304","cust068","prod03",9,2022-10-04,892.62,99.18
"159","o053","cust072","prod03",9,2023-06-01,892.62,99.18
"160","o411","cust076","prod03",3,2022-09-10,297.54,99.18
"161","o435","cust058","prod05",6,2024-01-03,312.36,52.06
"162","o490","cust011","prod10",7,2022-10-28,93.31,13.33
"163","o157","cust017","prod05",5,2022-06-18,260.3,52.06
"164","o322","cust022","prod10",8,2023-05-20,106.64,13.33
"165","o274","cust049","prod03",9,2022-01-01,892.62,99.18
"166","o250","cust086","prod14",7,2024-02-20,22.89,3.27
"167","o206","cust011","prod09",3,2022-10-28,188.07,62.69
"168","o189","cust048","prod17",9,2024-01-27,70.992,7.888
"169","o267","cust005","prod19",8,2023-10-23,9.168,1.146
"170","o104","cust069","prod19",1,2023-12-10,1.146,1.146
"171","o451","cust088","prod09",8,2023-07-19,501.52,62.69
"172","o339","cust090","prod03",7,2022-03-14,694.26,99.18
"173","o024","cust002","prod03",1,2022-10-28,99.18,99.18
"174","o295","cust049","prod09",10,2023-01-08,626.9,62.69
"175","o253","cust094","prod09",3,2023-03-09,188.07,62.69
"176","o209","cust067","prod19",6,2022-05-01,6.876,1.146
"177","o075","cust093","prod07",3,2022-07-24,27.924,9.308
"178","o071","cust020","prod19",1,2022-01-25,1.146,1.146
"179","o179","cust073","prod09",9,2022-06-18,564.21,62.69
"180","o463","cust052","prod19",3,2022-04-19,3.438,1.146
"181","o427","cust067","prod09",7,2022-04-07,438.83,62.69
"182","o087","cust034","prod19",5,2023-12-10,5.73,1.146
"183","o450","cust100","prod09",1,2024-02-08,62.69,62.69
"184","o097","cust052","prod04",4,2023-12-22,114.24,28.56
"185","o004","cust063","prod04",10,2023-05-20,285.6,28.56
"186","o354","cust009","prod14",8,2022-02-18,26.16,3.27
"187","o216","cust042","prod05",6,2022-03-14,312.36,52.06
"188","o438","cust079","prod09",8,2023-09-29,501.52,62.69
"189","o215","cust056","prod14",2,2023-05-08,6.54,3.27
"190","o132","cust050","prod05",8,2023-04-14,416.48,52.06
"191","o348","cust100","prod20",10,2023-02-01,358.3,35.83
"192","o280","cust087","prod14",8,2023-10-11,26.16,3.27
"193","o040","cust061","prod11",6,2023-09-17,116.892,19.482
"194","o429","cust083","prod14",4,2022-01-01,13.08,3.27
"195","o143","cust068","prod04",8,2023-10-11,228.48,28.56
"196","o123","cust085","prod14",7,2023-01-20,22.89,3.27
"197","o145","cust064","prod04",8,2022-03-02,228.48,28.56
"198","o408","cust050","prod09",1,2023-06-25,62.69,62.69
"199","o432","cust079","prod14",2,2023-03-21,6.54,3.27
"200","o166","cust098","prod09",1,2023-10-11,62.69,62.69
"201","o432","cust079","prod09",7,2023-03-21,438.83,62.69
"202","o172","cust035","prod14",10,2024-01-03,32.7,3.27
"203","o426","cust032","prod11",4,2022-05-25,77.928,19.482
"204","o485","cust034","prod20",5,2022-06-18,179.15,35.83
"205","o466","cust029","prod04",6,2022-04-07,171.36,28.56
"206","o121","cust081","prod09",2,2023-07-31,125.38,62.69
"207","o030","cust095","prod05",4,2023-02-25,208.24,52.06
"208","o382","cust082","prod20",6,2022-08-17,214.98,35.83
"209","o055","cust071","prod09",3,2022-10-28,188.07,62.69
"210","o150","cust002","prod09",10,2022-05-13,626.9,62.69
"211","o349","cust088","prod04",1,2022-04-07,28.56,28.56
"212","o326","cust094","prod04",4,2022-12-03,114.24,28.56
"213","o176","cust032","prod06",5,2022-12-27,462.2,92.44
"214","o080","cust016","prod06",2,2022-08-17,184.88,92.44
"215","o114","cust048","prod09",4,2023-05-20,250.76,62.69
"216","o320","cust014","prod06",1,2023-05-08,92.44,92.44
"217","o069","cust057","prod09",3,2023-04-14,188.07,62.69
"218","o357","cust056","prod15",9,2024-02-20,205.56,22.84
"219","o493","cust031","prod16",10,2023-10-23,189.16,18.916
"220","o191","cust008","prod20",7,2023-04-02,250.81,35.83
"221","o282","cust009","prod04",6,2022-04-07,171.36,28.56
"222","o365","cust044","prod04",10,2022-02-06,285.6,28.56
"223","o309","cust010","prod20",4,2022-01-01,143.32,35.83
"224","o398","cust023","prod04",4,2022-04-07,114.24,28.56
"225","o245","cust080","prod04",6,2022-11-09,171.36,28.56
"226","o340","cust005","prod11",4,2022-01-01,77.928,19.482
"227","o034","cust051","prod15",8,2022-08-17,182.72,22.84
"228","o303","cust025","prod04",8,2022-10-28,228.48,28.56
"229","o290","cust053","prod20",9,2022-01-25,322.47,35.83
"230","o018","cust051","prod06",7,2023-07-19,647.08,92.44
"231","o116","cust099","prod15",2,2022-08-29,45.68,22.84
"232","o142","cust058","prod15",7,2023-11-04,159.88,22.84
"233","o488","cust072","prod20",3,2024-02-20,107.49,35.83
"234","o276","cust091","prod04",5,2023-01-08,142.8,28.56
"235","o020","cust042","prod10",7,2022-01-25,93.31,13.33
"236","o191","cust008","prod15",9,2023-04-02,205.56,22.84
"237","o011","cust031","prod15",9,2022-06-30,205.56,22.84
"238","o077","cust028","prod10",5,2022-10-28,66.65,13.33
"239","o231","cust087","prod04",4,2022-02-18,114.24,28.56
"240","o027","cust060","prod06",6,2022-07-24,554.64,92.44
"241","o081","cust029","prod10",1,2023-05-08,13.33,13.33
"242","o219","cust092","prod15",10,2022-12-27,228.4,22.84
"243","o361","cust069","prod06",8,2023-09-05,739.52,92.44
"244","o358","cust043","prod11",5,2023-09-05,97.41,19.482
"245","o490","cust011","prod17",5,2022-10-28,39.44,7.888
"246","o080","cust016","prod20",5,2022-08-17,179.15,35.83
"247","o234","cust061","prod15",8,2023-09-17,182.72,22.84
"248","o117","cust031","prod04",9,2022-02-18,257.04,28.56
"249","o113","cust020","prod04",7,2023-06-01,199.92,28.56
"250","o054","cust029","prod10",1,2023-02-25,13.33,13.33
"251","o110","cust063","prod20",3,2023-03-21,107.49,35.83
"252","o021","cust006","prod12",9,2022-05-01,277.11,30.79
"253","o252","cust056","prod12",7,2023-11-28,215.53,30.79
"254","o009","cust034","prod04",8,2023-08-12,228.48,28.56
"255","o005","cust047","prod10",8,2023-10-11,106.64,13.33
"256","o249","cust020","prod04",3,2023-07-07,85.68,28.56
"257","o127","cust020","prod10",10,2022-06-18,133.3,13.33
"258","o389","cust008","prod08",4,2022-03-02,119.48,29.87
"259","o092","cust055","prod16",2,2022-02-06,37.832,18.916
"260","o027","cust060","prod16",10,2022-07-24,189.16,18.916
"261","o309","cust010","prod05",1,2022-01-01,52.06,52.06
"262","o499","cust054","prod17",5,2023-04-14,39.44,7.888
"263","o056","cust020","prod05",10,2024-01-27,520.6,52.06
"264","o432","cust079","prod17",5,2023-03-21,39.44,7.888
"265","o248","cust034","prod15",8,2023-07-31,182.72,22.84
"266","o008","cust063","prod17",6,2023-11-16,47.328,7.888
"267","o427","cust067","prod05",7,2022-04-07,364.42,52.06
"268","o090","cust097","prod05",9,2023-07-07,468.54,52.06
"269","o250","cust086","prod08",9,2024-02-20,268.83,29.87
"270","o031","cust019","prod10",8,2022-06-06,106.64,13.33
"271","o035","cust079","prod07",10,2022-05-25,93.08,9.308
"272","o125","cust082","prod06",4,2022-11-09,369.76,92.44
"273","o364","cust083","prod15",2,2023-02-25,45.68,22.84
"274","o129","cust032","prod15",10,2023-11-16,228.4,22.84
"275","o063","cust046","prod11",8,2023-08-12,155.856,19.482
"276","o430","cust012","prod05",4,2022-08-17,208.24,52.06
"277","o043","cust055","prod10",6,2023-04-26,79.98,13.33
"278","o200","cust036","prod19",1,2023-06-13,1.146,1.146
"279","o171","cust073","prod19",1,2022-12-27,1.146,1.146
"280","o263","cust100","prod17",3,2022-02-06,23.664,7.888
"281","o047","cust045","prod05",6,2022-05-25,312.36,52.06
"282","o424","cust088","prod12",4,2023-10-23,123.16,30.79
"283","o262","cust028","prod19",9,2022-07-12,10.314,1.146
"284","o076","cust075","prod11",3,2022-06-30,58.446,19.482
"285","o277","cust059","prod16",4,2023-01-08,75.664,18.916
"286","o055","cust071","prod05",5,2022-10-28,260.3,52.06
"287","o475","cust095","prod13",9,2022-04-19,77.085,8.565
"288","o487","cust070","prod05",8,2023-12-10,416.48,52.06
"289","o100","cust019","prod16",1,2022-10-28,18.916,18.916
"290","o006","cust055","prod16",2,2022-03-02,37.832,18.916
"291","o142","cust058","prod10",7,2023-11-04,93.31,13.33
"292","o233","cust063","prod11",6,2023-11-04,116.892,19.482
"293","o461","cust007","prod06",7,2023-02-01,647.08,92.44
"294","o314","cust009","prod05",10,2022-12-03,520.6,52.06
"295","o090","cust097","prod11",7,2023-07-07,136.374,19.482
"296","o147","cust047","prod07",1,2022-10-16,9.308,9.308
"297","o278","cust030","prod16",4,2022-01-01,75.664,18.916
"298","o162","cust020","prod12",7,2023-01-20,215.53,30.79
"299","o350","cust065","prod09",5,2023-09-17,313.45,62.69
"300","o094","cust057","prod16",10,2022-01-25,189.16,18.916
"301","o216","cust042","prod11",1,2022-03-14,19.482,19.482
"302","o058","cust090","prod11",2,2022-02-18,38.964,19.482
"303","o317","cust056","prod05",9,2023-04-26,468.54,52.06
"304","o028","cust006","prod11",7,2023-05-08,136.374,19.482
"305","o293","cust057","prod05",9,2022-02-06,468.54,52.06
"306","o148","cust054","prod12",2,2024-01-03,61.58,30.79
"307","o278","cust030","prod09",3,2022-01-01,188.07,62.69
"308","o198","cust077","prod12",5,2023-10-23,153.95,30.79
"309","o276","cust091","prod06",4,2023-01-08,369.76,92.44
"310","o379","cust049","prod11",2,2022-09-22,38.964,19.482
"311","o264","cust085","prod18",3,2023-12-10,275.88,91.96
"312","o250","cust086","prod12",8,2024-02-20,246.32,30.79
"313","o197","cust021","prod05",1,2023-01-20,52.06,52.06
"314","o269","cust038","prod17",7,2023-03-09,55.216,7.888
"315","o086","cust044","prod12",1,2022-07-24,30.79,30.79
"316","o445","cust018","prod11",2,2023-02-25,38.964,19.482
"317","o212","cust057","prod11",10,2022-10-04,194.82,19.482
"318","o038","cust004","prod11",1,2022-03-02,19.482,19.482
"319","o183","cust009","prod16",4,2023-03-21,75.664,18.916
"320","o469","cust088","prod17",5,2022-06-06,39.44,7.888
"321","o373","cust055","prod05",10,2023-04-14,520.6,52.06
"322","o459","cust095","prod16",9,2022-03-02,170.244,18.916
"323","o132","cust050","prod05",6,2023-04-14,312.36,52.06
"324","o120","cust057","prod08",9,2023-10-23,268.83,29.87
"325","o229","cust019","prod17",9,2023-09-05,70.992,7.888
"326","o274","cust049","prod13",10,2022-01-01,85.65,8.565
"327","o208","cust087","prod11",4,2022-09-22,77.928,19.482
"328","o080","cust016","prod13",6,2022-08-17,51.39,8.565
"329","o015","cust010","prod17",8,2022-09-10,63.104,7.888
"330","o170","cust002","prod17",1,2023-06-01,7.888,7.888
"331","o329","cust043","prod05",1,2022-03-02,52.06,52.06
"332","o020","cust042","prod14",6,2022-01-25,19.62,3.27
"333","o203","cust054","prod20",8,2022-11-21,286.64,35.83
"334","o129","cust032","prod09",5,2023-11-16,313.45,62.69
"335","o288","cust057","prod16",1,2022-03-02,18.916,18.916
"336","o442","cust073","prod06",4,2022-01-13,369.76,92.44
"337","o376","cust044","prod16",5,2023-05-20,94.58,18.916
"338","o163","cust051","prod16",2,2023-09-05,37.832,18.916
"339","o193","cust092","prod20",8,2022-03-26,286.64,35.83
"340","o491","cust097","prod17",3,2023-11-16,23.664,7.888
"341","o224","cust092","prod12",3,2023-10-23,92.37,30.79
"342","o103","cust016","prod11",3,2022-02-18,58.446,19.482
"343","o130","cust061","prod16",8,2023-02-25,151.328,18.916
"344","o146","cust083","prod06",10,2022-03-14,924.4,92.44
"345","o048","cust083","prod16",2,2023-04-26,37.832,18.916
"346","o130","cust061","prod06",9,2023-02-25,831.96,92.44
"347","o487","cust070","prod18",5,2023-12-10,459.8,91.96
"348","o225","cust034","prod11",10,2022-12-03,194.82,19.482
"349","o006","cust055","prod17",2,2022-03-02,15.776,7.888
"350","o151","cust016","prod11",2,2023-01-08,38.964,19.482
"351","o032","cust089","prod10",4,2022-07-24,53.32,13.33
"352","o423","cust080","prod11",2,2024-02-08,38.964,19.482
"353","o344","cust041","prod11",3,2023-10-23,58.446,19.482
"354","o496","cust034","prod18",10,2022-08-29,919.6,91.96
"355","o383","cust038","prod18",2,2023-04-14,183.92,91.96
"356","o448","cust006","prod06",10,2023-03-09,924.4,92.44
"357","o222","cust090","prod08",7,2023-06-01,209.09,29.87
"358","o199","cust052","prod06",6,2022-02-18,554.64,92.44
"359","o361","cust069","prod06",7,2023-09-05,647.08,92.44
"360","o132","cust050","prod08",1,2023-04-14,29.87,29.87
"361","o344","cust041","prod15",5,2023-10-23,114.2,22.84
"362","o311","cust039","prod06",6,2023-10-11,554.64,92.44
"363","o138","cust064","prod17",5,2022-09-22,39.44,7.888
"364","o327","cust078","prod10",3,2022-05-25,39.99,13.33
"365","o467","cust097","prod20",9,2022-01-25,322.47,35.83
"366","o221","cust072","prod14",6,2022-07-24,19.62,3.27
"367","o390","cust047","prod20",2,2022-06-30,71.66,35.83
"368","o100","cust019","prod13",4,2022-10-28,34.26,8.565
"369","o484","cust065","prod12",9,2022-06-30,277.11,30.79
"370","o266","cust004","prod18",2,2022-11-09,183.92,91.96
"371","o110","cust063","prod13",2,2023-03-21,17.13,8.565
"372","o165","cust025","prod20",3,2023-12-22,107.49,35.83
"373","o057","cust001","prod14",6,2022-02-06,19.62,3.27
"374","o399","cust078","prod19",3,2023-08-12,3.438,1.146
"375","o386","cust005","prod09",7,2023-08-12,438.83,62.69
"376","o323","cust069","prod10",10,2022-01-13,133.3,13.33
"377","o324","cust075","prod19",7,2022-08-17,8.022,1.146
"378","o169","cust005","prod17",1,2023-11-04,7.888,7.888
"379","o436","cust091","prod20",6,2022-10-28,214.98,35.83
"380","o417","cust075","prod16",2,2023-04-14,37.832,18.916
"381","o213","cust051","prod16",7,2023-02-01,132.412,18.916
"382","o194","cust005","prod10",10,2023-01-08,133.3,13.33
"383","o010","cust019","prod07",7,2022-08-05,65.156,9.308
"384","o406","cust097","prod19",3,2024-01-15,3.438,1.146
"385","o357","cust056","prod19",1,2024-02-20,1.146,1.146
"386","o494","cust068","prod19",9,2023-11-04,10.314,1.146
"387","o204","cust084","prod19",3,2023-05-20,3.438,1.146
"388","o218","cust049","prod20",3,2023-11-16,107.49,35.83
"389","o268","cust005","prod08",2,2023-09-05,59.74,29.87
"390","o208","cust087","prod10",8,2022-09-22,106.64,13.33
"391","o070","cust042","prod14",6,2023-07-07,19.62,3.27
"392","o158","cust039","prod17",3,2023-04-02,23.664,7.888
"393","o342","cust015","prod16",7,2022-09-10,132.412,18.916
"394","o235","cust076","prod16",5,2023-06-13,94.58,18.916
"395","o028","cust006","prod14",7,2023-05-08,22.89,3.27
"396","o360","cust005","prod14",4,2023-01-08,13.08,3.27
"397","o425","cust038","prod06",4,2023-07-07,369.76,92.44
"398","o177","cust093","prod08",6,2022-03-26,179.22,29.87
"399","o249","cust020","prod15",8,2023-07-07,182.72,22.84
"400","o260","cust064","prod16",4,2023-11-28,75.664,18.916
"401","o273","cust053","prod08",1,2023-01-08,29.87,29.87
"402","o242","cust046","prod11",3,2023-02-25,58.446,19.482
"403","o190","cust096","prod15",9,2023-02-13,205.56,22.84
"404","o403","cust020","prod14",4,2023-02-13,13.08,3.27
"405","o474","cust086","prod07",9,2022-10-04,83.772,9.308
"406","o182","cust090","prod16",4,2023-11-16,75.664,18.916
"407","o348","cust100","prod20",9,2023-02-01,322.47,35.83
"408","o192","cust044","prod14",1,2022-01-01,3.27,3.27
"409","o137","cust009","prod14",5,2023-08-12,16.35,3.27
"410","o387","cust022","prod08",5,2023-08-24,149.35,29.87
"411","o366","cust039","prod20",1,2023-02-13,35.83,35.83
"412","o212","cust057","prod17",7,2022-10-04,55.216,7.888
"413","o147","cust047","prod12",8,2022-10-16,246.32,30.79
"414","o243","cust084","prod07",5,2023-05-20,46.54,9.308
"415","o245","cust080","prod16",2,2022-11-09,37.832,18.916
"416","o297","cust081","prod12",10,2022-02-06,307.9,30.79
"417","o316","cust067","prod14",9,2022-06-06,29.43,3.27
"418","o338","cust067","prod15",2,2023-06-13,45.68,22.84
"419","o047","cust045","prod20",4,2022-05-25,143.32,35.83
"420","o294","cust067","prod18",5,2023-04-14,459.8,91.96
"421","o486","cust024","prod16",9,2022-09-22,170.244,18.916
"422","o500","cust025","prod20",3,2022-01-25,107.49,35.83
"423","o180","cust070","prod17",2,2024-01-27,15.776,7.888
"424","o198","cust077","prod09",2,2023-10-23,125.38,62.69
"425","o282","cust009","prod20",9,2022-04-07,322.47,35.83
"426","o148","cust054","prod13",5,2024-01-03,42.825,8.565
"427","o088","cust020","prod20",7,2022-03-26,250.81,35.83
"428","o257","cust066","prod18",2,2023-02-01,183.92,91.96
"429","o500","cust025","prod15",4,2022-01-25,91.36,22.84
"430","o024","cust002","prod11",5,2022-10-28,97.41,19.482
"431","o322","cust022","prod20",2,2023-05-20,71.66,35.83
"432","o310","cust072","prod15",5,2023-05-20,114.2,22.84
"433","o468","cust001","prod10",7,2023-01-20,93.31,13.33
"434","o044","cust098","prod09",1,2023-12-22,62.69,62.69
"435","o115","cust015","prod07",1,2022-03-02,9.308,9.308
"436","o007","cust041","prod15",3,2023-07-31,68.52,22.84
"437","o312","cust092","prod17",4,2023-01-08,31.552,7.888
"438","o020","cust042","prod15",8,2022-01-25,182.72,22.84
"439","o034","cust051","prod13",3,2022-08-17,25.695,8.565
"440","o419","cust030","prod18",7,2022-05-01,643.72,91.96
"441","o449","cust080","prod18",2,2022-01-01,183.92,91.96
"442","o001","cust048","prod19",5,2023-01-20,5.73,1.146
"443","o244","cust023","prod13",9,2022-08-17,77.085,8.565
"444","o020","cust042","prod09",1,2022-01-25,62.69,62.69
"445","o400","cust036","prod08",10,2022-07-24,298.7,29.87
"446","o307","cust061","prod15",7,2022-01-01,159.88,22.84
"447","o059","cust066","prod10",5,2024-01-15,66.65,13.33
"448","o183","cust009","prod17",2,2023-03-21,15.776,7.888
"449","o049","cust056","prod13",2,2022-03-26,17.13,8.565
