"","order_id","cust_id","prod_id","order_quantity","order_date","order_value","order_price"
"119","o017","cust29","prod07",2,2010-12-02,18.616,9.308
"120","o057","cust21","prod19",7,2005-08-13,8.022,1.146
"121","o069","cust22","prod06",7,2010-12-02,647.08,92.44
"122","o098","cust32","prod03",4,2009-03-21,396.72,99.18
"123","o020","cust26","prod03",2,2007-04-21,198.36,99.18
"124","o076","cust34","prod16",4,2007-04-21,75.664,18.916
"125","o064","cust30","prod06",9,2010-04-10,831.96,92.44
"126","o087","cust35","prod17",8,2009-03-21,63.104,7.888
"127","o045","cust25","prod16",8,2012-05-08,151.328,18.916
"128","o022","cust42","prod07",8,2007-04-21,74.464,9.308
"129","o026","cust14","prod07",6,2009-03-21,55.848,9.308
"130","o008","cust37","prod19",1,2018-10-27,1.146,1.146
"131","o007","cust43","prod07",7,2010-04-10,65.156,9.308
"132","o088","cust40","prod08",7,2010-12-02,209.09,29.87
"133","o096","cust14","prod08",4,2013-05-28,119.48,29.87
"134","o100","cust03","prod15",3,2018-03-26,68.52,22.84
"135","o056","cust38","prod08",9,2007-04-21,268.83,29.87
"136","o089","cust48","prod13",5,2007-04-21,42.825,8.565
"137","o054","cust27","prod04",4,2005-08-13,114.24,28.56
"138","o021","cust07","prod17",4,2010-04-10,31.552,7.888
"139","o022","cust42","prod15",3,2007-04-21,68.52,22.84
"140","o051","cust13","prod10",1,2007-04-21,13.33,13.33
"141","o085","cust25","prod20",6,2005-08-13,214.98,35.83
"142","o043","cust32","prod10",1,2013-05-28,13.33,13.33
"143","o028","cust43","prod05",10,2018-10-27,520.6,52.06
"144","o014","cust27","prod05",5,2012-05-08,260.3,52.06
"145","o039","cust23","prod13",6,2005-08-13,51.39,8.565
"146","o050","cust12","prod10",1,2010-04-10,13.33,13.33
"147","o078","cust13","prod15",1,2011-01-19,22.84,22.84
"148","o039","cust23","prod12",6,2005-08-13,184.74,30.79
"149","o078","cust13","prod08",8,2011-01-19,238.96,29.87
"150","o087","cust35","prod11",4,2009-03-21,77.928,19.482
"151","o060","cust47","prod18",9,2012-05-08,827.64,91.96
"152","o085","cust25","prod12",9,2005-08-13,277.11,30.79
"153","o093","cust46","prod19",4,2007-04-21,4.584,1.146
"154","o077","cust04","prod11",8,2015-12-04,155.856,19.482
"155","o041","cust07","prod10",8,2018-03-26,106.64,13.33
"156","o092","cust31","prod15",3,2013-05-28,68.52,22.84
"157","o011","cust26","prod20",8,2018-03-26,286.64,35.83
"158","o069","cust22","prod20",2,2010-12-02,71.66,35.83
"159","o091","cust12","prod11",1,2018-10-27,19.482,19.482
"160","o072","cust48","prod16",8,2005-08-13,151.328,18.916
"161","o050","cust12","prod20",3,2010-04-10,107.49,35.83
"162","o091","cust12","prod06",10,2018-10-27,924.4,92.44
"163","o024","cust19","prod16",7,2009-03-21,132.412,18.916
"164","o097","cust29","prod13",5,2009-03-21,42.825,8.565
"165","o075","cust49","prod20",7,2009-03-21,250.81,35.83
"166","o081","cust22","prod08",1,2013-05-28,29.87,29.87
"167","o079","cust05","prod19",7,2018-11-11,8.022,1.146
"168","o038","cust10","prod15",10,2018-11-11,228.4,22.84
"169","o034","cust45","prod16",6,2012-05-08,113.496,18.916
"170","o097","cust29","prod17",10,2009-03-21,78.88,7.888
"171","o032","cust32","prod17",10,2018-10-27,78.88,7.888
"172","o060","cust47","prod19",7,2012-05-08,8.022,1.146
"173","o036","cust09","prod14",2,2015-12-04,6.54,3.27
"174","o025","cust36","prod20",5,2018-11-11,179.15,35.83
"175","o072","cust48","prod16",4,2005-08-13,75.664,18.916
"176","o052","cust18","prod17",8,2005-08-13,63.104,7.888
"177","o013","cust05","prod15",8,2018-10-27,182.72,22.84
"178","o064","cust30","prod13",8,2010-04-10,68.52,8.565
"179","o060","cust47","prod19",2,2012-05-08,2.292,1.146
"180","o014","cust27","prod17",7,2012-05-08,55.216,7.888
"181","o001","cust31","prod19",7,2009-03-21,8.022,1.146
"182","o093","cust46","prod19",5,2007-04-21,5.73,1.146
"183","o084","cust46","prod20",3,2018-10-27,107.49,35.83
"184","o002","cust15","prod11",7,2012-05-08,136.374,19.482
"185","o001","cust31","prod10",9,2009-03-21,119.97,13.33
"186","o035","cust07","prod15",2,2007-04-21,45.68,22.84
"187","o099","cust07","prod18",6,2018-10-27,551.76,91.96
"188","o052","cust18","prod11",8,2005-08-13,155.856,19.482
"189","o053","cust33","prod03",9,2009-03-21,892.62,99.18
"190","o043","cust32","prod07",8,2013-05-28,74.464,9.308
"191","o029","cust39","prod01",2,2012-05-08,97.2,48.6
"192","o037","cust41","prod01",2,2009-03-21,97.2,48.6
"193","o084","cust46","prod12",4,2018-10-27,123.16,30.79
"194","o076","cust34","prod15",2,2007-04-21,45.68,22.84
"195","o010","cust25","prod07",5,2018-10-27,46.54,9.308
"196","o006","cust50","prod07",4,2007-04-21,37.232,9.308
"197","o088","cust40","prod07",3,2010-12-02,27.924,9.308
"198","o063","cust16","prod12",9,2007-04-21,277.11,30.79
"199","o100","cust03","prod04",7,2018-03-26,199.92,28.56
"200","o015","cust28","prod10",7,2018-03-26,93.31,13.33
"201","o091","cust12","prod01",8,2018-10-27,388.8,48.6
"202","o086","cust23","prod04",9,2015-12-04,257.04,28.56
"203","o013","cust05","prod09",7,2018-10-27,438.83,62.69
"204","o016","cust09","prod16",10,2005-08-13,189.16,18.916
"205","o034","cust45","prod04",10,2012-05-08,285.6,28.56
"206","o060","cust47","prod01",8,2012-05-08,388.8,48.6
"207","o012","cust27","prod10",9,2011-01-19,119.97,13.33
"208","o027","cust17","prod16",7,2009-03-21,132.412,18.916
"209","o094","cust30","prod12",10,2011-01-19,307.9,30.79
"210","o065","cust06","prod10",7,2005-08-13,93.31,13.33
"211","o039","cust23","prod14",4,2005-08-13,13.08,3.27
"212","o037","cust41","prod16",2,2009-03-21,37.832,18.916
"213","o048","cust05","prod08",4,2009-03-21,119.48,29.87
"214","o095","cust35","prod10",6,2015-12-04,79.98,13.33
"215","o053","cust33","prod10",4,2009-03-21,53.32,13.33
"216","o073","cust17","prod04",3,2018-11-11,85.68,28.56
"217","o073","cust17","prod10",2,2018-11-11,26.66,13.33
"218","o031","cust15","prod03",1,2018-11-11,99.18,99.18
"219","o090","cust30","prod05",2,2007-04-21,104.12,52.06
"220","o050","cust12","prod08",8,2010-04-10,238.96,29.87
"221","o067","cust08","prod10",3,2018-03-26,39.99,13.33
"222","o034","cust45","prod07",5,2012-05-08,46.54,9.308
"223","o097","cust29","prod12",6,2009-03-21,184.74,30.79
"224","o044","cust38","prod11",9,2009-03-21,175.338,19.482
"225","o084","cust46","prod02",6,2018-10-27,410.7,68.45
"226","o081","cust22","prod07",3,2013-05-28,27.924,9.308
"227","o072","cust48","prod02",10,2005-08-13,684.5,68.45
"228","o094","cust30","prod05",8,2011-01-19,416.48,52.06
"229","o004","cust03","prod07",7,2015-12-04,65.156,9.308
"230","o042","cust27","prod09",7,2010-04-10,438.83,62.69
"231","o079","cust05","prod03",3,2018-11-11,297.54,99.18
"232","o026","cust14","prod18",1,2009-03-21,91.96,91.96
"233","o099","cust07","prod18",3,2018-10-27,275.88,91.96
"234","o096","cust14","prod17",5,2013-05-28,39.44,7.888
"235","o051","cust13","prod18",8,2007-04-21,735.68,91.96
"236","o046","cust34","prod17",3,2018-10-27,23.664,7.888
"237","o050","cust12","prod19",6,2010-04-10,6.876,1.146
"238","o030","cust12","prod10",2,2009-03-21,26.66,13.33
"239","o007","cust43","prod19",1,2010-04-10,1.146,1.146
"240","o071","cust31","prod12",5,2018-11-11,153.95,30.79
"241","o075","cust49","prod03",7,2009-03-21,694.26,99.18
"242","o057","cust21","prod13",4,2005-08-13,34.26,8.565
"243","o070","cust39","prod16",3,2018-10-27,56.748,18.916
"244","o038","cust10","prod18",5,2018-11-11,459.8,91.96
"245","o098","cust32","prod04",5,2009-03-21,142.8,28.56
"246","o071","cust31","prod04",5,2018-11-11,142.8,28.56
"247","o014","cust27","prod19",7,2012-05-08,8.022,1.146
"248","o047","cust29","prod13",9,2013-05-28,77.085,8.565
"249","o036","cust09","prod18",1,2015-12-04,91.96,91.96
"250","o002","cust15","prod19",5,2012-05-08,5.73,1.146
"251","o082","cust25","prod19",9,2007-04-21,10.314,1.146
"252","o053","cust33","prod01",1,2009-03-21,48.6,48.6
"253","o003","cust14","prod08",9,2018-10-27,268.83,29.87
"254","o054","cust27","prod14",8,2005-08-13,26.16,3.27
"255","o031","cust15","prod14",7,2018-11-11,22.89,3.27
"256","o007","cust43","prod11",8,2010-04-10,155.856,19.482
"257","o092","cust31","prod16",8,2013-05-28,151.328,18.916
"258","o035","cust07","prod05",3,2007-04-21,156.18,52.06
"259","o063","cust16","prod11",2,2007-04-21,38.964,19.482
"260","o055","cust25","prod17",7,2010-12-02,55.216,7.888
"261","o009","cust14","prod20",2,2011-01-19,71.66,35.83
"262","o081","cust22","prod10",4,2013-05-28,53.32,13.33
"263","o051","cust13","prod18",5,2007-04-21,459.8,91.96
"264","o062","cust31","prod15",10,2005-08-13,228.4,22.84
"265","o006","cust50","prod11",7,2007-04-21,136.374,19.482
"266","o070","cust39","prod11",1,2018-10-27,19.482,19.482
"267","o021","cust07","prod06",1,2010-04-10,92.44,92.44
"268","o029","cust39","prod20",10,2012-05-08,358.3,35.83
"269","o032","cust32","prod20",10,2018-10-27,358.3,35.83
"270","o071","cust31","prod16",7,2018-11-11,132.412,18.916
